Board,Solution,Difficulty
.97132.6556479.1.223146579.14.......97.2.1356.53.7924131562.9.7.269.7.13....1.624,897132465564798132231465798142356879978241356653879241315624987426987513789513624,Easy
..63.1.7.87...2.35.3.7982..412.8.56.5..12...8798.354.2..4.139879..54.3.1.21..9.5.,246351879879462135135798246412987563563124798798635412654213987987546321321879654,Easy
.793.1..22.679...113.46.7..6.4.79.1..87.1.546.21..68..4126...8756..871.....1.4635,879351462246798351135462798654879213987213546321546879412635987563987124798124635,Easy
4..653..9789.4.3..5...78..1264.89.1..5.4.698.8.731.624.7.23.465..58.7....125..79.,421653879789142356536978241264789513153426987897315624978231465645897132312564798,Easy
..72..5311..8..6.2264.5..7..2.789...536.218..78..362146453..7.93.2.7..5..78.4.12.,897264531153897642264153978421789365536421897789536214645312789312978456978645123,Easy
.5.7.9..21...3..9....42.563897.1...42.1645.875.49.83..789..3.4642..971.5.152.48..,653789412142536798978421563897312654231645987564978321789153246426897135315264879,Easy
2..1.37.913..9...687.2..3.5..764.23..54312.97.2197.5..7.8.3614..63.21.7...27.96..,246153789135897426879264315987645231654312897321978564798536142563421978412789653,Easy
12..5.7.99.71.2.366.5.7...12.35.497.5.6.9..12.7.23..4535...68...627..15..9.3152.4,124653789987142536635978421213564978546897312879231645351426897462789153798315264,Easy
456.79....8...3564123.4...753..627....8.5.4..6427...152..6.59788.71..653.6.9871..,456879231789213564123546897531462789978351426642798315214635978897124653365987142,Easy
87.24.1.324.135.9...5.79.64..198.6.565...1.7..876.4.1.41.7..5.67.8563.2...3.1.78.,879246153246135897135879264321987645654321978987654312412798536798563421563412789,Easy
..8531..6642.7.315...6.278..65.9..422..36597.89..1..5..23.56..7.56789..17..1..5.4,978531426642978315531642789365897142214365978897214653123456897456789231789123564,Easy
.1578962442.........9.2.5....297.35..78653..16.31...79.6.23179.23.8.7.6..9756.13.,315789624426315987789426513142978356978653241653142879564231798231897465897564132,Easy
..1.65.9853.....127..21.56.1..64.8.92..97...5.975.1.46.4578932.9....3654.1245..8.,421365798536897412789214563153642879264978135897531246645789321978123654312456987,Easy
5316.....9...13.246.2..7...7.91.24.5.2.46.79..56.9..32.97.4135....8792412.4.5.879,531624987978513624642987513789132465123465798456798132897241356365879241214356879,Easy
123.65.8.7..1....6.56.9.12.8.72...6536..7..14.1.3.68..6.298..31.31.249.8.78.1364.,123465789789132456456798123897241365365879214214356897642987531531624978978513642,Easy
..4...1.3897..3264..362..979.8.32.4..1..659786..79831.5..8.94.142..5.789...2.15..,264987153897513264153624897978132645312465978645798312536879421421356789789241536,Easy
.423.68.....8.9.4197..413.631....98...9..3.24.26.8751.5647.....2..46.798.9713246.,142356879653879241978241356315624987789513624426987513564798132231465798897132465,Easy
.6453.7....76.23.5..3978.2..3621..78.8.3651.242.8..6.39...5.231645.2..9.31....5.4,264531789897642315153978426536214978789365142421897653978456231645123897312789564,Easy
.97..5.23.....8456564.1..8931.8976..42...39.87.92.45...78.3.21.14.7..36.6..42.89.,897645123231978456564312789315897642426153978789264531978536214142789365653421897,Easy
64.132..7..8..53.13.27.86..1.3.8..462.45138..89.62.13..36.4..9..89..64.242..79..3,645132987978465321312798654153987246264513879897624135536241798789356412421879563,Easy
..6879..4.21.568..7892.1..597...2.56..24.5..96...9.12.8.751.6.2.64.87.3.15.62.97.,536879214421356897789241365978132456312465789645798123897513642264987531153624978,Easy
.7.356.1.142.79.6.6....17.8564.3.9.72317...548.746.3.1..5.87.4.7.9.2.1.5.2...38.9,978356412142879563653241798564132987231798654897465321315987246789624135426513879,Easy
9..426.....231.9785.1....422..9.8.658976.3.14.6.1428..789..41.345....789..3.97.5.,978426531642315978531789642214978365897653214365142897789564123456231789123897456,Easy
8.76.53..56..129.8.3...8645.534.1.89.785.6..1..27..536....641..42.15..97...89726.,897645312564312978231978645653421789978536421142789536789264153426153897315897264,Easy
124...56.98..35.1.63512..9....35.879.9...213.3..7.82.6.4.213..78.954...1.13..9654,124987563987635412635124798462351879798462135351798246546213987879546321213879654,Easy
.7..54.23213......5.632.7.9.3.4128.7.2.79.365987..32..4..135.78.98..653...18..64.,879654123213987456546321789635412897124798365987563214462135978798246531351879642,Easy
3..78924124..36..98.9.21.5...3.6498..248....39.71...24.9.3..4.513..45.9846..781..,356789241241536879879421356513264987624897513987153624798312465132645798465978132,Easy
653421.7...27.9.....853..41..5897.2478..645..42....987..7..5132.3.9.84.556.3.2..8,653421879142789356978536241315897624789264513426153987897645132231978465564312798,Easy
.65987.23132...7.97..3.145..4..638.73...982.4879...36.6.4.7...1..324.97.9871.5...,465987123132654789798321456241563897356798214879412365624879531513246978987135642,Easy
.973.5...3.5214..72.4...6.56.253...89..6.23......784621.3789.464561..87..8..5.213,897365124365214987214897635642531798978642351531978462123789546456123879789456213,Easy
9......3.142.5.7.9.5.978.21564.97....972.16.52.15.49..4.....153.1.426.97.8931.26.,978142536142653789653978421564897312897231645231564978426789153315426897789315264,Easy
31.7892..4....5879789.2..358.7..43..2.1.9...4..42319876..142...14...85.3..865.4.2,315789246426315879789426135897564321231897654564231987653142798142978563978653412,Easy
9875.3.6.....2489...49871..465.98..2.3...5.787981..6.5...24.536.56..942...13.6.89,987513264513624897624987153465798312132465978798132645879241536356879421241356789,Easy
..8123..56.57891.2.12.567.8153...98..975.16...6..785.37..2.4..6.3.....414.13.587.,978123465645789132312456798153642987897531624264978513789214356536897241421365879,Easy
12..974..4.6....8...95.4123.3..89.42.4.3159.897842.53.2.4...36536.14.89..97..3...,123897456456231789789564123531789642642315978978426531214978365365142897897653214,Easy
8..2.1.655.4897.....1.64.98.2678.51.3.54...8...931..24978142.5614...38.9.....82.1,897231465564897132231564798426789513315426987789315624978142356142653879653978241,Easy
..679.24.4....38.978..1.3.6.532..9..8.7135..42648..513.1265...864...7.3..78321.6.,536798241421563879789412356153246987897135624264879513312654798645987132978321465,Easy
.7...51.424.9876.53..12..8...28.9.464.5.138.9..854..13.1..98.6.987.623..624...79.,879635124241987635356124987132879546465213879798546213513798462987462351624351798,Easy
6458..32....5469879.8.1.6...6.798..5.5.4.287.89....246.8.12..6..36..74.24216...98,645879321312546987978213654264798135153462879897351246789124563536987412421635798,Easy
5.43128..8.76.5..1..197.56.42.....8931..974.67.9.643159..53......2.8.6.3.5.4.1978,564312897897645231231978564426153789315897426789264315978536142142789653653421978,Easy
.267.8315.15.6278..8.3.14269781..6.31....5.7865..87.....15468.78....3.64.6.87.231,426798315315462789789351426978124653142635978653987142231546897897213564564879231,Easy
64..8..13.785136...31..498.8.7241.56365.7...12.43568...8..3246.1......9.4567.8...,642987513978513624531624987897241356365879241214356879789132465123465798456798132,Easy
.31.8.46.564.2.....9.6.41.2653....79.42..835...8563.4.78.246..3.2...5.87..5879624,231987465564321798897654132653412879142798356978563241789246513426135987315879624,Easy
65.8...149.824.3.5.423.689.3156..9...26.87..1...5.3.42...46..89....98123897.32.5.,653879214978241365142356897315624978426987531789513642231465789564798123897132456,Easy
.13.786..62453..8..8..4.513...789.6546...37.87.8.561..2..8.7356.5.2....987.3652..,513978624624531987987642513132789465465123798798456132241897356356214879879365241,Easy
.65.7.321..2.4.9..7..2.3.542..6.579.35.9....28791..56.6..7.813.513..287.98735.2..,465879321132546987798213654241635798356987412879124563624798135513462879987351246,Easy
...24.9.74.2.79.3..983561.4..6.1.798.796.43.113.9...6..8.4...133..79854665.1.2...,563241987412879635798356124246513798879624351135987462987465213321798546654132879,Easy
24.9.85.6..96.34.135.14..89624.1.89..8..2.153..37.9...7..56.3..465..1.78.3.89.64.,241978536879653421356142789624315897987426153513789264798564312465231978132897645,Easy
7...1.26442...9.53315.2.8....156.9785..8..3..897.3.645.426.3.89..81.2....5397.4.1,789315264426789153315426897231564978564897312897231645142653789978142536653978421,Easy
789....3.3..8972464.615..7.9785....21....95.365.421...8.764.....319.865...4312.87,789264135315897246426153879978536412142789563653421798897645321231978654564312987,Easy
63.1.27..1..9785.39...5341..46....8.2.38.7.54..9564....623.58793.1..924.7.8.2.13.,635142798124978563987653412546231987213897654879564321462315879351789246798426135,Easy
53.789.42..84..53..4.3.59.84.623..8...3897..67..56.12389765..1.21....3.5....428.7,531789642978426531642315978456231789123897456789564123897653214214978365365142897,Easy
564.31....3.8.7..589.56.31.4..31.89..15.8.264..942..5..786.3..16..14..891429..5.6,564231978231897645897564312426315897315789264789426153978653421653142789142978536,Easy
4..13.7...2.7.8.6...9.6513.53.9876.46..5..9879786.4513365.4...9.9...6.4...487.35.,456132798123798465789465132531987624642513987978624513365241879897356241214879356,Easy
..9412.63536..8..2..1..379..45.8.321.126..987978.21....5.24...989..352..2..87.13.,789412563536798412421563798645987321312654987978321654153246879897135246264879135,Easy
..8.1524.351.2.87..6.7..13.54.89...1.792..6.4.13.64.87.2.6537.8...9.84.298...256.,798315246351426879462789135546897321879231654213564987124653798635978412987142563,Easy
3....7.659.86.41.2.4.32179..53879..426....9.789...651.53641.8.9.21.9..5..895.3...,312987465978654132645321798153879624264135987897246513536412879421798356789563241,Easy
5.41.38....178.56..9....23...8..51.214.8.7653653.14..8789642.1.42.5.1.893...7..2.,564123897231789564897456231978365142142897653653214978789642315426531789315978426,Easy
.....432146523.98..32.976..6..3..87..87..6135...789..687965..12..1..8...35.14.798,798564321465231987132897654624315879987426135513789246879653412241978563356142798,Easy
1.254.97..9821.64.4.58.9.1..1.462...62.79.153.87.51.64356........91245....1...789,132546978798213645465879312513462897624798153987351264356987421879124536241635789,Easy
13.5.49....82...4.465897...98.315.64..4...153.13.26..73..9.8.218.9142.362...5.7.9,132564978798231645465897312987315264624789153513426897356978421879142536241653789,Easy
.3.9.76.287.62.53.246513.....41...89.87.65..332.7..4564.2.793..56...18....8.5.214,135987642879624531246513978654132789987465123321798456412879365563241897798356214,Easy
.7.4.2356.53..8..11.2.63.79.6...7132.31.5.79.8.732...542.87....31524.9.7..91..6.4,978412356653798241142563879564987132231654798897321465426879513315246987789135624,Easy
1.465..8..8.142..56.59.8.24..83154..462.8935..5....798.7..3.546..35648..5....72.3,124653987987142635635978124798315462462789351351426798879231546213564879546897213,Easy
231.4.987..49....18..31.65.14.5.6....5.7.9..2.78.21.6378.15.2.63..2...794268.713.,231645987564978321897312654142536798653789412978421563789153246315264879426897135,Easy
..3.46789..6.79.2..892134...4.79..3153146....9.83.164.3.5.87.1.2......9789.1.43.5,123546789456879123789213456642798531531462978978351642365987214214635897897124365,Easy
.7....312546321......98.64.6354.27.912..9..3.9..56342...824..533.18.9.6..62.3.8.7,879654312546321978213987645635412789124798536987563421798246153351879264462135897,Easy
5..7.9.124.15.679..89.215..9.83126..3.2.4.9.764..783...5.2.4.79.9..5..46264.9.1..,536789412421536798789421563978312654312645987645978321153264879897153246264897135,Easy
..3..687.546..9.1.8.9123.4612436.9..63.89.1....721.6.5351...7...985..462...978.5.,213456879546789213879123546124365987635897124987214635351642798798531462462978351,Easy
.1.6.4...4...87315789.1.4....23569...53.7...29782...5.897..2.642...65.97564.982.1,315624789426987315789513426142356978653879142978241653897132564231465897564798231,Easy
8.9.3.14235.1..9.82...87..3.98.46.31.65..3..713.8..56.5..7.842...74623.5..4.5.789,879635142356124978241987653798546231465213897132879564513798426987462315624351789,Easy
9.8...42.1.2978..6.5.1.2.89.26.15..77.94.615...5.89.6489..6431.56..3.9...318.76..,978653421142978536653142789426315897789426153315789264897564312564231978231897645,Easy
..85.3241.4.79835.65.4..87..31987..5....217.8.9..54.327.92.......587.6244.6.3.98.,978563241142798356653412879231987465564321798897654132789246513315879624426135987,Easy
..8..3642531.24....4.9..5317..1.2.56..6.98.2.1.34.5..92...568.7.6587.2.489..41.65,978513642531624978642987531789132456456798123123465789214356897365879214897241365,Easy
.249.7....136.4.8.987.1.42.2.13..97.3...7914287..41..3.6.7.8.311...658.77...325.4,624987315513624789987513426241356978356879142879241653465798231132465897798132564,Easy
.7..4613.6.52.37..31287.46...4351.871....8624897....1......524.4219..3.6536..4.7.,978546132645213798312879465264351987153798624897462513789635241421987356536124879,Easy
4.23.5..7.98..61..3..78.2641...78.3663514..8..876.342..1..97.455.623.97....56..1.,462315897798426153351789264124978536635142789987653421213897645546231978879564312,Easy
.7..2435.5..98..62...513798.237.8.46456.3...9.8.465.132.4.79.3..652...8...73.6..4,978624351531987462642513798123798546456132879789465213214879635365241987897356124,Easy
